门锁编号,身份证号(加密后),密码编号,操作类型,操作结果,返回信息,时间戳,调用返回结果
11.140.2.58,,6,1002,HH0000,成功,1547792333152,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":6,""business_id"":""1685f9cc04c006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,5,1001,HH0000,成功,1547853362910,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":5,""business_id"":""1685f9ce6b4006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,1,1002,HH0000,成功,1547792343208,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":1,""business_id"":""1685f9ce79c006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,1,1001,HH0000,成功,1547856962910,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":1,""business_id"":""1685f9d0dc6006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,2,1002,HH0000,成功,1547792353065,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":2,""business_id"":""1685f9d0e15006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,2,1001,HH0000,成功,1547860562910,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":2,""business_id"":""1685f9d34d7006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,3,1002,HH0000,成功,1547792363041,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":3,""business_id"":""1685f9d3518006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,3,1001,HH0000,成功,1547864162910,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":3,""business_id"":""1685f9d5be5006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,7,1002,HH0000,成功,1547792373072,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":7,""business_id"":""1685f9d5c2b006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,6,1001,HH0000,成功,1547867762910,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":6,""business_id"":""1685f9d82f4006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,4,1002,HH0000,成功,1547792383055,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":4,""business_id"":""1685f9d833c006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,4,1001,HH0000,成功,1547871362910,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":4,""business_id"":""1685f9daa01006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,5,1002,HH0000,成功,1547792393107,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":5,""business_id"":""1685f9daa86006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
